strategy,symbol,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars,avg_fwd_4_atr,avg_fwd_8_atr,avg_fwd_16_atr,avg_fwd_24_atr,avg_mfe_16_atr,avg_mae_16_atr,hit_1atr_first_16
DONCHIAN20_FALSE_BREAK_6_Q,SILVER,116,53.44827586206896,27.78577837499005,0.23953257219819007,1.4811162674299867,9.742710249672477,8,5.370689655172414,0.05898798334022347,0.3643259963038378,0.06886778972638204,0.17378002924996777,2.481136175311413,-2.3812615920208127,57.758620689655174
DONCHIAN20_FALSE_BREAK_6_Q,EURJPY,123,49.59349593495935,25.474079472204803,0.20710633717239676,1.4098562001693358,6.348589249228327,5,3.3821138211382116,0.14659675175676265,-0.022420719074400845,-0.10596268523387488,0.009571025353241374,2.201663560213021,-2.281063623744489,59.34959349593496
DONCHIAN20_FALSE_BREAK_6_Q,GBPJPY,133,45.86466165413533,20.823511546149174,0.15656775598608402,1.2876455581537947,7.207358744040711,7,3.142857142857143,0.09888306460786671,0.3267134426681823,0.5888646349180291,0.765178766741642,2.6976447898256226,-2.097912350807906,55.639097744360896
DONCHIAN20_FALSE_BREAK_6_Q,CHFJPY,121,47.107438016528924,17.35785086360602,0.14345331292236382,1.2677617621408257,9.237091204118837,5,3.87603305785124,0.05981181698550698,-0.0024039528659025055,-0.4165968326864016,-0.45876544861881613,2.0266824170074265,-2.2271177337150894,57.02479338842975
RSI_70_30_REJECT_6_Q,EURJPY,57,50.877192982456144,14.71480064081024,0.2581543972071972,1.5173206654569156,4.650573030760254,3,2.4035087719298245,0.40298659314615365,0.4660538250451415,0.12310443452662662,0.20161638794181672,2.5380271500684977,-1.9392981426693396,57.89473684210527
DONCHIAN55_FALSE_BREAK_6_Q,EURJPY,73,49.31506849315068,14.170510566993643,0.19411658310950197,1.3855888849343874,7.364843012082746,4,3.0273972602739727,0.19533211457463898,-0.04642877004769792,-0.032589978507670356,0.011278428008413104,2.2759645511098756,-2.164936910695445,60.273972602739725
DONCHIAN55_FALSE_BREAK_6_Q,CHFJPY,68,50.0,13.767371823663948,0.20246135034799925,1.402673989227434,4.072007651986228,4,3.7205882352941178,0.10760371320028059,0.11012692279024625,-0.48641377717484635,-0.6593552385035035,2.12075218156324,-2.243794178540337,55.88235294117647
DONCHIAN55_FALSE_BREAK_6_Q,SILVER,63,52.38095238095239,12.93305762037873,0.20528662889490046,1.3978976697238765,7.863812042460347,5,4.746031746031746,-0.073421988590279,0.28623137917416536,-0.44616301119177965,-0.5044458947509295,2.4790792449208037,-3.00908031961928,52.38095238095239
RSI_70_30_REJECT_6_Q,SILVER,52,53.84615384615385,11.980903869461347,0.2304019974896413,1.4590649149517834,7.566500129958667,7,5.115384615384615,-0.002068919517879699,0.06841292012187489,-0.6576914863156813,-0.9993622971894172,2.3736732518554584,-3.055771890281643,61.53846153846154
RSI_70_30_REJECT_6_Q,GBPJPY,48,47.91666666666667,9.63330844693477,0.2006939259778077,1.387405997756721,6.111733833346219,6,3.2083333333333335,0.12781928016463015,-0.1088490639065292,0.041326891308609226,0.5389629559091024,2.3660986591025086,-2.5099480350343923,58.333333333333336
DONCHIAN55_FALSE_BREAK_6_Q,GBPJPY,66,45.45454545454545,8.79055801852199,0.13319027300790895,1.2395274644753311,9.326215046531736,6,3.227272727272727,0.13102284522421545,0.16570674902023752,0.3778999402592,0.6324037134347901,2.6360330812292645,-2.1865848649722257,57.57575757575758
RSI_70_30_REJECT_6_Q,CHFJPY,59,45.76271186440678,8.476204543544753,0.14366448378889413,1.2634171968399623,4.126327148074146,4,3.5084745762711864,0.10451991291208462,0.38067755483082394,0.24145895383070995,0.14643297536752614,2.2519851228369006,-1.8080945962585333,50.847457627118644
DONCHIAN20_FALSE_BREAK_6_Q,XAUUSD,116,43.103448275862064,6.6833371321486315,0.057614975277143377,1.1004677624383088,14.153652036695199,8,4.336206896551724,0.07215614409362474,0.35717197001386825,0.3858487058099173,0.15725272480284552,2.4700325854140472,-2.126080883027649,56.03448275862068
RSI_70_30_REJECT_6_Q,XAUUSD,50,44.0,4.577821815245979,0.09155643630491958,1.1602668292620988,7.334044663667419,5,3.2,0.10127858395517002,0.0038739543103177756,-0.21413595199658783,-0.15069653404714012,2.2714070221896607,-2.58718855451896,48.0
RSI_70_30_REJECT_6_Q,USDJPY,53,43.39622641509434,3.903089574076614,0.07364319951087951,1.1286242853627966,5.608492786124079,4,4.2075471698113205,0.36761293235803827,0.5817609730891691,0.052656684493076984,-0.03788583797625892,2.8827909420460465,-2.0909814058740626,58.490566037735846
DONCHIAN55_FALSE_BREAK_6_Q,XAUUSD,64,40.625,-0.15959180822294616,-0.002493622003483534,0.9958011583124899,7.054853950417035,5,3.859375,0.04827108960462407,0.08357936142157264,-0.07521770786933396,-0.4366283530792368,2.270923517821753,-2.379887985276074,51.5625
RSI_70_30_REJECT_6_Q,AUDJPY,43,39.53488372093023,-1.1761145987877084,-0.02735150229738857,0.9554376015071621,6.155980641978498,6,4.255813953488372,0.24115897807585157,0.0626619043447075,0.11797680891229086,0.08712323094321,1.8866590958351321,-2.007853180388625,51.162790697674424
DONCHIAN55_FALSE_BREAK_6_Q,AUDJPY,66,37.878787878787875,-4.4257225365045345,-0.06705640206825052,0.8937560281808588,8.734604007379216,6,3.515151515151515,0.15730917791173238,0.05707052504155821,0.22569619854546832,0.3256661496400145,2.198742188118579,-2.1506045444976443,48.484848484848484
DONCHIAN20_FALSE_BREAK_6_Q,USDJPY,128,38.28125,-5.5926039480336325,-0.043692218344012754,0.9301208603859773,19.14239296816465,8,3.6328125,-0.08709388618620828,0.11432520848306177,-0.1344109987151458,-0.11536387876912611,2.34070612283839,-2.3803205074861706,47.65625
DONCHIAN20_FALSE_BREAK_6_Q,AUDJPY,113,38.05309734513274,-7.144728605806522,-0.06322768677704886,0.8994951443351444,11.459972712066566,7,3.8053097345132745,-0.10646307116532264,-0.12278708541522473,-0.1715230092983259,-0.13385011375890704,2.02730535408703,-2.2890519332235346,47.78761061946903
DONCHIAN55_FALSE_BREAK_6_Q,USDJPY,70,35.714285714285715,-10.761452016496847,-0.1537350288070978,0.763810766860864,14.925854860897338,6,3.2285714285714286,-0.15671207087749864,0.11036585067263008,-0.12173820045579846,-0.251028970802682,2.5453022614677088,-2.5443541004501733,47.14285714285714
