timeframe,family,strategy,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars,avg_fwd_4_atr,avg_fwd_8_atr,avg_fwd_16_atr,avg_fwd_24_atr,avg_mfe_16_atr,avg_mae_16_atr,hit_1atr_first_16
H4,MACDクロス否定,MACD_SIGNAL_CROSS_FAIL_6_Q,1657,42.0036210018105,-24.77778910524703,-0.014953403201718184,0.9757138755423677,79.27705799835918,11,3.5340977670488836,0.07017771192729148,0.0163427614946345,0.04165319163364017,0.09322329896185726,2.3282812842327467,-2.2232600044375395,50.33192516596259
H4,MACDクロス否定,MACD_SIGNAL_CROSS_FAIL_6,2169,41.26325495620101,-71.74048821927406,-0.0330753749282038,0.9470397678217543,126.99470725478733,18,3.557399723374827,0.045019751718688265,-0.02827606354626465,-0.03601348977111112,-0.0674439710112529,2.227176157280547,-2.2192411105493393,49.42369755647764
H4,RSI 70/30否定,RSI_70_30_REJECT_6_Q,2103,39.657631954350926,-116.59180822750298,-0.05544070766880788,0.9134839676236868,166.90290194410278,20,3.573466476462197,0.00668195122416432,-0.009515366242977899,-0.02879863836645487,-0.05569546929550834,2.17281673910874,-2.255145767802176,48.074179743223965
H4,EMA200クロス否定,EMA200_CROSS_FAIL_6_Q,1403,38.84533143264433,-131.85036406703958,-0.09397745122383434,0.8556105633003849,167.42647341147213,13,3.668567355666429,-0.02194811089569918,-0.03564300606504037,-0.0670767807071093,0.012918532657705357,2.0927913235650757,-2.1464047020423576,47.398431931575196
H4,Donchian高安値更新否定,DONCHIAN55_FALSE_BREAK_6_Q,2441,39.41007783695207,-176.1484422788461,-0.07216240978240315,0.8875677257434477,242.61619423807963,15,3.4743957394510447,-0.04698147715339858,-0.0049999439880314385,-0.03273628779645286,-0.02466012763455872,2.1997613298740135,-2.251286365101878,48.340843916427694
H4,RSI 70/30否定,RSI_70_30_REJECT_6,2948,39.620081411126186,-182.83668293397065,-0.062020584441645404,0.9033237314081032,244.29487611840014,17,3.6156716417910446,0.011844864843147057,0.022995530962112154,0.02456866226234493,0.01983772308776232,2.238992387865267,-2.2573904556775894,48.33785617367707
H4,Donchian高安値更新否定,DONCHIAN55_FALSE_BREAK_6,3434,39.92428654630169,-213.44453897745453,-0.06215624315010324,0.902433613576531,288.3261951953811,20,3.5101921956901574,-0.036842032875729076,-0.027820188785895126,-0.042406912952913864,-0.0015261986772372494,2.2207412452640134,-2.282922286265739,49.18462434478742
H4,Bollinger外側否定,BB_OUTER_REJECT_6_Q,3301,39.41229930324145,-214.0910685695427,-0.06485642792170333,0.8991544697862708,267.39973961344,22,3.6906997879430476,-0.051127992121284556,-0.04881812340554521,-0.11888873370820306,-0.12478346265762938,2.1425803394256233,-2.2757190611501756,48.167222053923055
H4,EMA200クロス否定,EMA200_CROSS_FAIL_6,2021,38.34735279564572,-217.40927053051033,-0.1075750967493866,0.8357037802063281,237.60209851496646,14,3.7872340425531914,-0.03392865172049756,-0.0706259155789342,-0.10093804662385149,-0.045902009417204286,2.06914554697493,-2.190984088105712,46.66006927263731
H4,EMA50クロス否定,EMA50_CROSS_FAIL_6_Q,2869,37.783199721157196,-346.8982923304334,-0.12091261496355293,0.8180223404180759,356.80224234931563,21,3.736493551760195,-0.028652672006827456,-0.000283860884785981,0.0551187555413798,-0.039556682937040955,2.199171716668472,-2.1396293711439984,46.84559079818752
H4,EMA50クロス否定,EMA50_CROSS_FAIL_6,4023,38.55331841909023,-410.1471415579787,-0.10195056961421296,0.8443768261811788,411.1850244119707,19,3.9197116579666917,-0.008169660355127497,-0.006350257437169522,0.031521019895340445,-0.030650170625440423,2.177918251524355,-2.1334029767648377,47.40243599304002
H4,Donchian高安値更新否定,DONCHIAN20_FALSE_BREAK_6_Q,4138,38.27936201063316,-425.5781503295239,-0.10284633889065344,0.84285539448705,483.52912332802714,17,3.6072982116964716,-0.058930145929628384,-0.056415309427093656,-0.1088498665042564,-0.12648511206666127,2.1405936641029815,-2.25626906750932,48.11503141614307
H4,Donchian高安値更新否定,DONCHIAN20_FALSE_BREAK_6,5819,38.85547344904623,-524.3737111742828,-0.09011405931848819,0.8609901047594433,566.2141573871066,21,3.63120811135934,-0.04259573962150877,-0.039405168143594745,-0.07485135142750016,-0.053985061495522194,2.16545123421181,-2.240559635104119,48.582230623818525
H4,Bollinger外側否定,BB_OUTER_REJECT_12,6891,39.15251777681033,-535.6746426654738,-0.07773540018364153,0.8800295064254856,561.2525700481463,17,3.6199390509360034,-0.037925526924170845,-0.03734413508261261,-0.08972461560363955,-0.09413413430545642,2.1948082338485833,-2.315189615376203,48.802786242925556
H4,Bollinger外側否定,BB_OUTER_REJECT_3,6799,39.0792763641712,-539.7702580118327,-0.07938965406851488,0.8776313993864672,568.7145590113041,17,3.6209736725989115,-0.038932630665025246,-0.0384700162748041,-0.10018125701501225,-0.10547962050321844,2.1913459986353327,-2.320575659767853,48.74246212678335
H4,Bollinger外側否定,BB_OUTER_REJECT_6,6850,39.05109489051095,-550.2209709764933,-0.08032422933963405,0.8762472343634923,574.3615593839279,17,3.6194160583941604,-0.03881597384048162,-0.04014383708896501,-0.09670531405782783,-0.10126839343389578,2.1928420874698733,-2.318817877823354,48.72992700729927
