label,trades,wr,total_r,avg_r,pf,dd,max_streak,filter
baseline CAP_DEFAULT_RR2 ex GBPJPY,175,38.285714285714285,6.455681981574241,0.03688961132328138,1.0571349800996979,26.462644208203912,12,
close_loc>=0.5,175,38.285714285714285,6.455681981574241,0.03688961132328138,1.0571349800996979,26.462644208203912,12,close_loc>=0.5
close_loc>=0.6,123,39.83739837398374,7.301492513958907,0.059361727755763476,1.0949474303176576,21.695599096311874,10,close_loc>=0.6
close_loc>=0.7,80,36.25,-0.7385893244160382,-0.009232366555200478,0.9860323440197077,12.45740627162412,8,close_loc>=0.7
close_loc>=0.8,55,34.54545454545455,-3.1201585069472957,-0.05673015467176901,0.9165241902979534,7.278627027546032,6,close_loc>=0.8
wick>=0.5,175,38.285714285714285,6.455681981574241,0.03688961132328138,1.0571349800996979,26.462644208203912,12,wick>=0.5
wick>=0.6,100,44.0,17.876625380938016,0.17876625380938016,1.3087452394678418,14.489117876003554,8,wick>=0.6
wick>=0.7,49,40.816326530612244,6.002655072192779,0.12250316473862814,1.2014148460276204,7.237969855248646,6,wick>=0.7
sig_range>=1.8,175,38.285714285714285,6.455681981574241,0.03688961132328138,1.0571349800996979,26.462644208203912,12,sig_range>=1.8
sig_range>=2.2,82,40.243902439024396,2.1830186093205777,0.02662217816244607,1.0427692524260874,17.45563226645231,8,sig_range>=2.2
sig_range>=2.5,59,47.45762711864407,11.148816048923626,0.18896298388006147,1.3458089336625558,9.877483161351378,6,sig_range>=2.5
sig_range>=3.0,33,60.60606060606061,14.152959186160096,0.4288775510957605,2.0564063380695705,4.5102958868207885,4,sig_range>=3.0
COMBO close>=0.6 + wick>=0.55 + sig>=2.2,52,44.230769230769226,4.849437867640519,0.09325842053154845,1.1613593560691755,13.892995843502458,6,COMBO
COMBO2 close>=0.7 + wick>=0.6 + sig>=2.5,14,57.14285714285714,6.080323183244922,0.4343087988032087,1.9695840311519652,3.0712353415741505,3,COMBO2
