group,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,tp_rate,mode,rule
ALL,24,70.83333333333334,18.080408283439183,0.7533503451432993,3.61907393210737,2.0822313397230516,2,70.83333333333334,Balanced,A+ only
ALL,51,66.66666666666666,32.56310090655745,0.6384921746383814,2.881927865122032,4.182526010812811,4,66.66666666666666,Balanced,A/A+ all
ALL,39,69.23076923076923,27.141199195371954,0.6959281844967168,3.1747359277968674,2.7159905871361527,2,69.23076923076923,Balanced,A/A+ strong_or_ok_break
ALL,34,67.64705882352942,22.725635676326895,0.6684010493037322,3.048297744836577,3.1357854295738843,3,67.64705882352942,Balanced,A/A+ early_or_normal
ALL,27,70.37037037037037,19.586395319577605,0.7254220488732446,3.344099141103191,2.106220362185642,2,70.37037037037037,Balanced,A/A+ clean_all
ALL,39,69.23076923076923,27.56447458037995,0.7067813994969219,3.2710888712422093,4.182526010812813,4,69.23076923076923,Balanced,A+ or clean A
ALL,22,59.09090909090909,9.75043557746808,0.44320161715764,2.0416886229984645,2.114650078921996,2,59.09090909090909,Balanced,B only
ALL,25,72.0,19.56680147805324,0.7826720591221296,3.834388409958031,2.0822313397230516,2,72.0,Expansion88,A+ only
ALL,60,65.0,35.7791151246785,0.5963185854113083,2.6695258328385933,4.774701636745721,4,65.0,Expansion88,A/A+ all
ALL,48,66.66666666666666,30.35721341349301,0.6324419461144377,2.827880381344391,3.762921147879812,3,66.66666666666666,Expansion88,A/A+ strong_or_ok_break
ALL,42,66.66666666666666,26.963754679390018,0.6419941590330956,2.898797936919853,3.7279610555067944,3,66.66666666666666,Expansion88,A/A+ early_or_normal
ALL,35,68.57142857142857,23.824514322640727,0.6807004092183065,3.0787170950623945,2.698395988118552,2,68.57142857142857,Expansion88,A/A+ clean_all
ALL,47,68.08510638297872,31.802593583443077,0.6766509273072995,3.086419699994485,4.774701636745725,4,68.08510638297872,Expansion88,A+ or clean A
ALL,28,53.57142857142857,8.503829978693213,0.30370821352475763,1.6273742789303405,3.364031763083426,3,53.57142857142857,Expansion88,B only
ALL,23,69.56521739130434,16.60756904043256,0.7220682191492417,3.4057228391966707,2.0822313397230516,2,69.56521739130434,Strict,A+ only
ALL,48,66.66666666666666,30.68608820494382,0.6392935042696629,2.8864893764821695,4.182526010812811,4,66.66666666666666,Strict,A/A+ all
ALL,38,68.42105263157895,25.700210577954667,0.6763213309988071,3.0592742013165553,2.7159905871361527,2,68.42105263157895,Strict,A/A+ strong_or_ok_break
ALL,34,67.64705882352942,22.725635676326895,0.6684010493037322,3.048297744836577,3.1357854295738843,3,67.64705882352942,Strict,A/A+ early_or_normal
ALL,27,70.37037037037037,19.586395319577605,0.7254220488732446,3.344099141103191,2.106220362185642,2,70.37037037037037,Strict,A/A+ clean_all
ALL,38,68.42105263157895,26.091635337373326,0.686621982562456,3.1497388776420387,4.182526010812811,4,68.42105263157895,Strict,A+ or clean A
ALL,21,61.904761904761905,10.78412963546809,0.5135299826413376,2.2951534167047494,2.1146500789219953,2,61.904761904761905,Strict,B only
