feature,bin,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,worst_year_r,worst_2y_r,is_trades,is_r,oos_trades,oos_r
body,"(0.65, 1.0]",14,78.57142857142857,12.832928815535073,0.9166377725382195,5.090783139176807,2.085209357991869,2,-1.0537105524911001,-1.0537105524911001,14,12.832928815535073,0,0.0
body,"(0.45, 0.65]",13,53.84615384615385,4.788559228474497,0.3683507098826536,1.8958981655181248,2.0780275552059924,2,-1.1721080763234617,-1.1721080763234617,11,5.960667304797958,2,-1.1721080763234617
body,"(-0.001, 0.45]",4,50.0,0.7554273398349634,0.18885683495874084,1.34800909872433,1.0477251226443323,2,-1.1229863403722233,-2.1707114630165556,3,-0.6968570783555859,1,1.4522844181905492
box_width_atr,"(1.4, 1.7]",15,60.0,7.791887313792534,0.5194591542528356,2.465228949957004,1.172108076323461,2,-1.1721080763234617,-2.0693760791090066,12,7.511710971925446,3,0.2801763418670876
box_width_atr,"(-0.001, 1.2]",6,83.33333333333334,6.102720404324481,1.0171200673874135,6.434367440570723,1.1229863403722233,1,0.33546819441952214,1.428275899511842,6,6.102720404324481,0,0.0
box_width_atr,"(1.7, 2.0]",4,75.0,3.3401070337255145,0.8350267584313786,4.16985250439895,1.0537105524911001,1,-1.0537105524911001,-1.0537105524911001,4,3.3401070337255145,0,0.0
box_width_atr,"(1.2, 1.4]",6,50.0,1.1422006320020022,0.1903667720003337,1.3616656174184683,1.0569687152958458,2,-1.0569687152958458,-1.0569687152958458,6,1.1422006320020022,0,0.0
chase_atr,"(0.5, 0.8]",6,100.0,8.73836896579412,1.4563948276323533,inf,0.0,0,1.436654507473258,1.44116455996827,6,8.73836896579412,0,0.0
chase_atr,"(0.35, 0.5]",7,71.42857142857143,5.1515224271473805,0.7359317753067687,3.472741622058704,1.0518253805734847,1,-1.0314988055007688,-1.0314988055007688,7,5.1515224271473805,0,0.0
chase_atr,"(-0.001, 0.35]",18,50.0,4.487023990903031,0.24927911060572397,1.5236098311536956,2.0856023962525705,3,-2.08560239625257,-3.208588736624794,15,4.206847649035944,3,0.2801763418670876
direction,long,31,64.51612903225806,18.376915383844526,0.5928037220595008,2.7250901075183678,2.359168474474962,2,-1.1721080763234617,-1.1721080763234617,28,18.096739041977443,3,0.2801763418670876
entry_hour,1,3,100.0,4.337134140856736,1.4457113802855786,inf,0.0,0,1.4522844181905492,1.4522844181905492,2,2.8848497226661864,1,1.4522844181905492
entry_hour,0,4,75.0,3.2746817787910105,0.8186704446977526,4.107762156361882,0.0,1,-1.0537105524911001,-1.0537105524911001,4,3.2746817787910105,0,0.0
entry_hour,2,7,57.14285714285714,2.670801372286024,0.38154305318371773,1.8498338729339308,1.0518253805734852,1,-1.051825380573485,-1.051825380573485,6,3.7139843577504847,1,-1.0431829854644605
entry_hour,6,5,60.0,2.2790153086038125,0.4558030617207625,2.0967204467016303,2.0780275552059924,2,-2.0780275552059924,-0.6368629952377223,5,2.2790153086038125,0,0.0
entry_hour,7,3,66.66666666666666,1.8666479988217857,0.6222159996072619,2.809646301932043,0.0,1,-1.0314988055007688,-1.0314988055007688,3,1.8666479988217857,0,0.0
entry_hour,11,1,100.0,1.4730986319295374,1.4730986319295374,inf,0.0,0,1.4730986319295374,1.4730986319295374,1,1.4730986319295374,0,0.0
entry_hour,10,1,100.0,1.4584545347917455,1.4584545347917455,inf,0.0,0,1.4584545347917455,1.4584545347917455,1,1.4584545347917455,0,0.0
entry_hour,19,1,100.0,1.4481621304535657,1.4481621304535657,inf,0.0,0,1.4481621304535657,1.4481621304535657,1,1.4481621304535657,0,0.0
entry_hour,12,1,100.0,1.4468645696261078,1.4468645696261078,inf,0.0,0,1.4468645696261078,1.4468645696261078,1,1.4468645696261078,0,0.0
entry_hour,8,2,50.0,1.3398872469605134,0.6699436234802567,11.392757825750778,0.12892509085900117,1,-0.12892509085900108,-0.12892509085900108,1,1.4688123378195146,1,-0.12892509085900108
entry_hour,4,1,0.0,-1.0569687152958458,-1.0569687152958458,0.0,0.0,1,-1.0569687152958458,-1.0569687152958458,1,-1.0569687152958458,0,0.0
entry_hour,3,2,0.0,-2.160863613980461,-1.0804318069902306,0.0,1.0378772736082378,2,-1.1229863403722233,-2.160863613980461,2,-2.160863613980461,0,0.0
recovery,"(0.5, 0.65]",11,63.63636363636363,6.917641881932273,0.6288765347211157,3.1141281479933074,1.05347375386717,1,-1.0534737538671703,-0.12892509085900108,9,5.594282554600724,2,1.323359327331548
recovery,"(0.65, 0.8]",13,61.53846153846154,6.408943692032869,0.492995668617913,2.2290721153491475,2.0884675207966144,3,-1.0477251226443325,-2.079223928145101,13,6.408943692032869,0,0.0
recovery,"(0.8, 0.95]",4,75.0,3.212016649278724,0.803004162319681,3.860245520185111,0.0,1,-1.1229863403722233,-1.1229863403722233,4,3.212016649278724,0,0.0
recovery,"(0.25, 0.5]",3,66.66666666666666,1.838313160600666,0.6127710535335553,2.76221543699947,1.0431829854644605,1,-1.0431829854644605,-1.0431829854644605,2,2.8814961460651265,1,-1.0431829854644605
retrace,"(0.499, 0.618]",31,64.51612903225806,18.376915383844526,0.5928037220595008,2.7250901075183678,2.359168474474962,2,-1.1721080763234617,-1.1721080763234617,28,18.096739041977443,3,0.2801763418670876
setup_age,"(-0.001, 2.0]",14,71.42857142857143,10.224099686501816,0.7302928347501297,3.393446894585505,1.0537105524911001,1,-1.1229863403722233,-1.1229863403722233,12,9.814998253775727,2,0.4091014327260887
setup_age,"(2.0, 5.0]",12,50.0,3.377352018929232,0.281446001577436,1.6305183823773182,3.136192643440947,3,-1.0569687152958458,-1.6530678034678628,11,3.506277109788233,1,-0.12892509085900108
setup_age,"(5.0, 12.0]",4,75.0,3.317009143621739,0.8292522859054348,4.237515823265974,1.024553801338822,1,-1.024553801338822,0.4170881798966204,4,3.317009143621739,0,0.0
setup_age,"(12.0, 99.0]",1,100.0,1.4584545347917455,1.4584545347917455,inf,0.0,0,1.4584545347917455,1.4584545347917455,1,1.4584545347917455,0,0.0
