label,trades,win_rate,total_r,avg_r,pf,max_dd_r,worst_year_r,worst_2y_r,oos_trades,oos_r,axis,bucket
USD down,10,60.0,-0.10890600949105167,-0.010890600949105166,0.9750082791902607,2.5899082430926956,-1.0538595180955226,-1.7273745340183813,0,0.0,usd_ret6,USD down
USD up,20,85.0,8.359597720392305,0.4179798860196152,3.4480232000998696,1.6336766053485547,-0.5284712962759316,-0.8994232608128776,4,1.0258972410681104,usd_ret6,USD up
slightly lower,4,75.0,0.7471249371338133,0.18678123428345333,1.6316959941747724,1.1827286289979306,-1.1827286289979306,-1.1827286289979306,0,0.0,chf_minus_other_bb,slightly lower
slightly higher,5,100.0,3.5455507091178267,0.7091101418235654,inf,0.0,0.654257332721999,0.654257332721999,0,0.0,chf_minus_other_bb,slightly higher
much higher,21,71.42857142857143,3.9580160646496125,0.18847695545950535,1.600628479423562,2.2101196356236392,-1.0538595180955226,-1.5378565383259533,4,1.0258972410681104,chf_minus_other_bb,much higher
1,17,82.35294117647058,6.635930521028052,0.3903488541781207,3.036467164693535,1.5020537630972868,-0.4839970202304309,-0.8297906657996013,1,0.7596608375469719,chf_bb_rank_cross4,1
2,8,75.0,1.994538301538265,0.24931728769228312,1.9048239256761195,1.105205309072623,-1.105205309072623,-1.105205309072623,2,1.3931384523200179,chf_bb_rank_cross4,2
3,3,66.66666666666666,0.16532006767138885,0.05510668922379628,1.1467031387932936,1.1269020487988792,-1.1269020487988792,-1.1269020487988792,1,-1.1269020487988792,chf_bb_rank_cross4,3
4,2,50.0,-0.5450971793364547,-0.27254858966822737,0.5391189779533032,1.1827286289979306,-1.1827286289979306,-1.1827286289979306,0,0.0,chf_bb_rank_cross4,4
preheated,30,76.66666666666667,8.250691710901252,0.27502305703004176,2.0615208776720735,1.1827286289979302,-0.43529214346371825,-0.43529214346371825,4,1.0258972410681104,other_preheated,preheated
