label,trades,win_rate,total_r,avg_r,pf,max_dd_r,worst_year_r,worst_2y_r,oos_trades,oos_r,rr,max_hold
tp1.2_hold24,30,63.33333333333333,8.650691710901297,0.28835639036337657,1.7135477815993376,3.3111701889237173,-2.1457936455691833,-1.960566305735349,4,2.2258972410680764,1.2,24
tp1.5_hold24,30,56.666666666666664,8.288100977896992,0.2762700325965664,1.577773509936256,2.930163851342843,-2.1457936455691833,-1.0605663057353634,4,0.6258972410680164,1.5,24
tp0.8_hold24,30,76.66666666666667,8.250691710901252,0.27502305703004176,2.0615208776720735,1.1827286289979302,-0.43529214346371825,-0.43529214346371825,4,1.0258972410681104,0.8,24
tp1.2_hold12,30,60.0,7.929209854377598,0.26430699514591993,1.6756255042771193,2.545602213981441,-1.3802256706269072,-1.194998330793073,4,2.2258972410680764,1.2,12
tp0.5_hold12,30,90.0,7.350691710901189,0.24502305703003963,3.2960698493138088,1.4686321782617149,-0.6457936455691506,-1.060566305735343,4,1.6258972410680803,0.5,12
tp0.5_hold24,30,90.0,7.350691710901189,0.24502305703003963,3.2960698493138088,1.4686321782617149,-0.6457936455691506,-1.060566305735343,4,1.6258972410680803,0.5,24
tp1.5_hold12,30,53.333333333333336,7.216259749555382,0.24054199165184606,1.5522479447759594,2.886272028760339,-1.3802256706269072,-1.5790508586089285,4,0.6258972410680164,1.5,12
tp0.8_hold12,30,73.33333333333333,7.216259685843516,0.2405419895281172,1.8910188394090541,1.8612320082077685,-1.3802256706269072,-1.188968910910083,4,1.0258972410681104,0.8,12
tp0.5_hold8,30,86.66666666666667,6.693413834953155,0.22311379449843852,2.946123838578758,2.125910054209748,-1.0720505361142254,-1.717844181683376,4,1.6258972410680803,0.5,8
tp0.8_hold8,30,70.0,6.580751256053122,0.21935837520177073,1.8210493701284731,2.181110643771875,-1.0584562244692906,-1.2305067605835371,4,1.0258972410681104,0.8,8
tp1.5_hold5,30,56.666666666666664,5.65718223654995,0.18857274121833167,1.471435586732085,4.453714029957766,-3.330903916256965,-4.453714029957766,4,2.5810703353151743,1.5,5
tp1.2_hold8,30,56.666666666666664,5.478430474905759,0.18261434916352529,1.4816486885200129,4.004721186249419,-2.8652586241992326,-3.923714848668523,4,2.2258972410680764,1.2,8
tp0.5_hold5,30,83.33333333333334,5.299829846923504,0.17666099489745013,2.2923833800609508,2.755191498333782,-1.7013319802382598,-2.3471256258074105,4,1.6258972410680803,0.5,5
tp0.5_hold3,30,80.0,5.039690652544722,0.1679896884181574,2.1826631225846835,2.775614431960986,-1.721754913865463,-2.3675485594346135,4,1.6258972410680803,0.5,3
tp1.0_hold24,30,63.33333333333333,4.850691710901258,0.16168972369670861,1.4001067689389746,3.711170188923722,-2.1457936455691833,-2.5605663057353696,4,1.6258972410680934,1.0,24
tp1.5_hold3,30,50.0,4.338145679093339,0.14460485596977796,1.3838811286808494,3.163482082142738,-1.7143058159106175,-3.163482082142737,4,2.1674902326515557,1.5,3
tp1.0_hold12,30,60.0,4.329209854377534,0.1443069951459178,1.3688797048763302,2.945602213981446,-1.3802256706269072,-1.7949983307930935,4,1.6258972410680934,1.0,12
tp1.5_hold8,30,50.0,4.240894693054852,0.14136315643516173,1.326859129268809,3.9237148486685225,-2.8652586241992326,-3.923714848668523,4,0.6258972410680164,1.5,8
tp0.8_hold5,30,66.66666666666666,4.19886727915361,0.13996224263845367,1.4803720362710526,2.7051484315199876,-1.1228101137008009,-2.2241420939391263,4,1.0258972410681104,0.8,5
tp1.0_hold8,30,56.666666666666664,3.088886360360874,0.1029628786786958,1.2715664771634734,3.7811106437718625,-2.2548027387440728,-3.313258963213363,4,1.6258972410680934,1.0,8
tp1.2_hold5,30,56.666666666666664,2.9020091423028465,0.09673363807676155,1.2418360104902264,4.534720367538663,-3.330903916256965,-4.453714029957766,4,2.2258972410680764,1.2,5
tp0.8_hold3,30,60.0,2.404281926248344,0.08014273087494479,1.2552419895725688,3.407465724883374,-1.4772831210703925,-2.926459387302512,4,0.7674902326517061,0.8,3
tp1.2_hold3,30,50.0,2.0053216062517185,0.06684405354172394,1.1774502698897127,3.244488419723634,-1.7143058159106175,-3.163482082142737,4,1.56749023265156,1.2,3
tp1.0_hold5,30,56.666666666666664,0.5884792240058656,0.019615974133528852,1.0490403237244905,4.734720367538646,-3.330903916256965,-4.453714029957766,4,1.6258972410680934,1.0,5
tp1.0_hold3,30,50.0,0.005321606251802891,0.00017738687506009635,1.000470907241355,3.4444884197236165,-1.7143058159106175,-3.163482082142737,4,1.1674902326516332,1.0,3
