timeframe,method,trades,wins,losses,win_rate,total_r,avg_r,median_r,profit_factor,max_losing_streak,avg_hold_days
H1,急な揺り戻し＋高値停滞,378,168,210,44.44444444444444,98.83815004348294,0.26147658741662155,-1.0,1.470657857349919,9,1.7062389770723105
H4,V字＋高値停滞,28,15,13,53.57142857142857,27.68366649981241,0.9887023749933004,0.325920817443642,3.1295128076778784,3,4.8809523809523805
H4,レンジ抜け2回目以降のブレイクアウト,98,40,58,40.816326530612244,27.682046703456802,0.28246986432098775,-1.0,1.4772766673009792,7,4.311224489795917
H1,急な揺り戻し＋安値停滞,337,133,204,39.46587537091988,27.244069166728146,0.08084293521284316,-1.0,1.1335493586604322,10,1.7199554896142433
H1,V字＋高値停滞,139,66,73,47.482014388489205,21.37419668323845,0.15377119915998883,-1.0,1.2927972148388829,6,1.8129496402877698
H1,高値停滞,84,33,51,39.285714285714285,19.297984014256556,0.22973790493162566,-1.0,1.3783918434167952,9,1.0099206349206347
H1,値幅広めの高値停滞,1370,575,795,41.97080291970803,17.59230258236913,0.01284109677545192,-1.0,1.0221565523707419,23,1.806660583941606
D1,値幅広めの高値停滞,53,31,22,58.490566037735846,14.888208901982056,0.28090960192418973,0.2761515056132618,1.708962328665812,4,23.132075471698112
H4,高値停滞,380,147,233,38.68421052631579,11.873287001035255,0.031245492107987514,-1.0,1.050958313309164,14,3.960087719298246
D1,抵抗線付近の高値停滞,39,14,25,35.8974358974359,7.869546954616636,0.20178325524658042,-1.0,1.3278977897756932,10,18.17948717948718
H1,安値停滞,45,16,29,35.55555555555556,7.615424481969642,0.16923165515488092,-1.0,1.2626008442058496,6,1.2249999999999999
H4,抵抗線付近の高値停滞,94,42,52,44.680851063829785,7.4380371176832085,0.07912805444343839,-1.0,1.1430391753400617,9,3.8758865248226955
H4,値幅広めの安値停滞,284,123,161,43.309859154929576,5.540008665215488,0.01950707276484327,-1.0,1.034409991709413,8,5.946596244131456
D1,高値停滞,5,3,2,60.0,0.1480265283079465,0.0296053056615893,0.1835911730655514,1.0740132641539732,1,25.4
D1,安値停滞,8,3,5,37.5,0.12160261473591927,0.015200326841989908,-1.0,1.024320522947184,4,19.375
D1,値幅広めの安値停滞,35,16,19,45.714285714285715,-0.9380954528174363,-0.026802727223355322,-1.0,0.9479151887465926,12,23.0
H1,支持線付近の安値停滞,1,0,1,0.0,-1.0,-1.0,-1.0,0.0,1,0.6666666666666666
H4,逆V字＋安値停滞,12,5,7,41.66666666666667,-1.756057585186407,-0.14633813209886726,-1.0,0.7491346306876562,4,4.958333333333333
H1,逆V字＋安値停滞,81,37,44,45.67901234567901,-1.7690756314495089,-0.02184043989443838,-1.0,0.9597937356488747,7,1.9310699588477365
H1,抵抗線付近の高値停滞,10,2,8,20.0,-3.1276310281690316,-0.31276310281690317,-1.0,0.6090461214788712,8,0.6291666666666667
H1,レンジ抜け2回目以降のブレイクアウト,14,6,8,42.857142857142854,-4.575362688301156,-0.3268116205929397,-1.0,0.4280796639623555,5,4.395833333333333
H4,急な揺り戻し＋安値停滞,23,9,14,39.130434782608695,-6.851909830767212,-0.2979091230768353,-1.0,0.5105778692309134,5,4.137681159420289
H4,値幅広めの高値停滞,362,159,203,43.92265193370166,-8.085570888951986,-0.02233583118495024,-1.0,0.9601696015322562,14,5.520257826887661
H4,支持線付近の安値停滞,55,20,35,36.36363636363637,-12.09306084035999,-0.21987383346109074,-1.0,0.6544839759897145,8,4.181818181818182
H4,急な揺り戻し＋高値停滞,27,6,21,22.22222222222222,-14.558762857335841,-0.5392134391605867,-1.0,0.3067255782221028,9,4.975308641975309
D1,支持線付近の安値停滞,36,10,26,27.77777777777778,-14.850348227963662,-0.4125096729989906,-1.0,0.42883276046293606,12,15.86111111111111
D1,レンジ抜け2回目以降のブレイクアウト,116,36,80,31.03448275862069,-18.663821488224162,-0.16089501282951862,-1.0,0.766702231397198,13,13.78448275862069
H4,安値停滞,376,128,248,34.04255319148936,-42.93254997381888,-0.1141823137601566,-1.0,0.826884879137827,13,3.7535460992907805
H1,値幅広めの安値停滞,1211,492,719,40.62758051197358,-81.5840099977502,-0.06736912468848076,-1.0,0.8865312795580665,16,1.8262455271125788
