symbol,max_entries,entries,baskets,win_rate,total_r_after_cost,total_r_clean,avg_r_after_cost,pf_after_cost,max_dd_after_cost_r,max_losing_streak,max_winning_streak
AUDJPY,1,80,80,25.0,-3.08,0.0,-0.0385,0.95,17.95,12,3
AUDJPY,2,80,80,25.0,-3.08,0.0,-0.0385,0.95,17.95,12,3
AUDJPY,3,80,80,25.0,-3.08,0.0,-0.0385,0.95,17.95,12,3
AUDJPY,4,80,80,25.0,-3.08,0.0,-0.0385,0.95,17.95,12,3
AUDJPY,5,80,80,25.0,-3.08,0.0,-0.0385,0.95,17.95,12,3
CHFJPY,1,64,64,35.94,24.35,28.0,0.3805,1.563,9.37,10,3
CHFJPY,2,66,64,36.36,26.5,30.29,0.4014,1.598,9.37,10,3
CHFJPY,3,66,64,36.36,26.5,30.29,0.4014,1.598,9.37,10,3
CHFJPY,4,66,64,36.36,26.5,30.29,0.4014,1.598,9.37,10,3
CHFJPY,5,66,64,36.36,26.5,30.29,0.4014,1.598,9.37,10,3
EURJPY,1,55,55,30.91,11.42,13.0,0.2077,1.292,9.39,7,2
EURJPY,2,55,55,30.91,11.42,13.0,0.2077,1.292,9.39,7,2
EURJPY,3,55,55,30.91,11.42,13.0,0.2077,1.292,9.39,7,2
EURJPY,4,55,55,30.91,11.42,13.0,0.2077,1.292,9.39,7,2
EURJPY,5,55,55,30.91,11.42,13.0,0.2077,1.292,9.39,7,2
GBPJPY,1,59,59,42.37,39.11,41.0,0.6628,2.113,6.16,6,9
GBPJPY,2,60,59,43.33,41.87,43.8,0.6978,2.192,6.16,6,9
GBPJPY,3,60,59,43.33,41.87,43.8,0.6978,2.192,6.16,6,9
GBPJPY,4,60,59,43.33,41.87,43.8,0.6978,2.192,6.16,6,9
GBPJPY,5,60,59,43.33,41.87,43.8,0.6978,2.192,6.16,6,9
SILVER,1,64,64,43.75,36.62,48.0,0.5721,1.865,6.41,5,5
SILVER,2,64,64,43.75,36.62,48.0,0.5721,1.865,6.41,5,5
SILVER,3,64,64,43.75,36.62,48.0,0.5721,1.865,6.41,5,5
SILVER,4,64,64,43.75,36.62,48.0,0.5721,1.865,6.41,5,5
SILVER,5,64,64,43.75,36.62,48.0,0.5721,1.865,6.41,5,5
USDJPY,1,64,64,37.5,29.91,32.0,0.4673,1.725,9.37,9,4
USDJPY,2,64,64,37.5,29.91,32.0,0.4673,1.725,9.37,9,4
USDJPY,3,64,64,37.5,29.91,32.0,0.4673,1.725,9.37,9,4
USDJPY,4,64,64,37.5,29.91,32.0,0.4673,1.725,9.37,9,4
USDJPY,5,64,64,37.5,29.91,32.0,0.4673,1.725,9.37,9,4
XAUUSD,1,75,75,44.0,53.2,57.0,0.7094,2.211,6.19,6,4
XAUUSD,2,76,75,44.74,53.91,57.79,0.7094,2.227,6.19,6,4
XAUUSD,3,76,75,44.74,53.91,57.79,0.7094,2.227,6.19,6,4
XAUUSD,4,76,75,44.74,53.91,57.79,0.7094,2.227,6.19,6,4
XAUUSD,5,76,75,44.74,53.91,57.79,0.7094,2.227,6.19,6,4
