No,手法名,期間,TF,通貨数,Trades,WR%,PF,Total_R,Max_DD_R,連敗,判定,コメント
1,TrendBreakV1 HYBRID (baseline),2015-2024,H1,7,461,36.88,1.62,191.53,14.02,13,採用(主力),fakeout filter なし
1',TrendBreakV1 HYBRID (AUDJPY除外),2015-2024,H1,6,381,39.37,1.79,194.61,11.94,11,採用,推奨6通貨
2,H4 T5+MACD+BB 実戦用,2015-2024,H4,7,34,61.76,3.56,29.2,4.35,5,採用(補助),Strict 0.75-1.00+REC1.2
2',H4 T5+MACD+BB 実戦用,2025-2026 OOS,H4,7,15,66.67,2.44,7.26,2.02,2,OOS再現,過剰最適化なし
3,TrendBreakV1 + T5 両方フル (採用案),2015-2024,H1+H4,6,411,40.88,1.86,219.94,11.94,11,本番運用,推奨
4,Sai Best Method (急な揺り戻し),2015-2024,H1,7,378,44.4,1.47,98.84,13.21,9,archive,v1で採用、v2で外す
5,Sai H1 全体 (4手法込み),2015-2024,H1,7,1108,41.6,1.05,99.91,21.9,?,不採用,平均PF低い
6,H4 急落V字 単独 (strict),2015-2024,H4,7,39,30.77,0.72,-7.16,13.2,5,単独NG,環境認識用
7,Synapse v0 (エリオット風 H4),2015-2024,H4,7,413,31.96,0.85,-42.41,48.82,19,不採用,機械化困難
8,Synapse v1 (改善版 H1),2015-2024,H1,7,81,56.79,1.42,14.78,5.39,5,研究中,A_earlyモード有望
9,Elliott W5 RR3 LOOSE,2015-2024,H1,7,450,30.0,1.23,73.33,34.7,17,不採用,DD大
10,VFIB_618_BODY60_LONG_RR2,2015-2024,H1,7,1513,38.6,1.19,186.64,50.87,16,不採用,件数◎ 平均R薄
11,TrendBreakV1 (NAS100),2015-2024,H1,1,?,?,?,?,?,?,参考,インデックス検証
12,TrendBreakV1 (SPX500),2015-2024,H1,1,?,?,?,?,?,?,参考,インデックス検証
13,TrendBreakV1 Pyramiding sweep,2015-2024,H1,7,各種,-,-,-,-,-,研究,1エントリーが最適
14,TrendBreakV1 騙し回避フィルタ,2015-2024,H1,7,各種,-,-,-,-,-,研究,body60+early1 が候補
